id,source,target,quote,headline,url,actors_ok,direction_ok,polarity,real_event,mediation,notes
E016,Israel,Hezbollah,The Israeli military confirmed there were clashes with Hezbollah fighters in south Lebanon,"Hezbollah fighters, Israeli troops clash in Lebanon",https://www.dawn.com/news/1997602/hezbollah-fighters-israeli-troops-clash-in-lebanon,,,,,,
E017,Pakistan,US,"Messages have been received through intermediaries, including Pakistan, but there is no direct negotiation with the US",‘You have to be serious’: Macron criticises Trump’s mixed messages about Nato and Iran,https://www.theguardian.com/world/2026/apr/02/you-have-to-be-serious-macron-criticises-trumps-mixed-messages-about-nato-and-iran,,,,,,
E018,US,UK,"he claimed he had told the UK: “Don’t bother, we don’t need it.”",Trump describes UK aircraft carriers as ‘toys’ in latest anti-Nato jibe,https://www.theguardian.com/politics/2026/mar/26/donald-trump-uk-aircraft-carriers-toys-nato-keir-starmer-iran,,,,,,
E019,Pakistan,US,Pakistan has passed proposals between the two sides,Israeli strikes and US troop buildup put Pakistan’s peacemaker role under pressure,https://www.theguardian.com/world/2026/mar/29/israeli-strikes-us-troop-buildup-pakistan-peacemaker-role-under-pressure,,,,,,
E020,Pakistan,Iran,Pakistani official sources said the Iranians had told them Islamabad was their preferred venue for talks.,JD Vance role touted as Pakistan attempts to broker US-Iran peace talks ,https://www.theguardian.com/world/2026/mar/24/pakistan-army-chief-iran-peace-talks-trump-call,,,,,,
E021,US,Iran,warned that there would be further destruction unless Iran comes to the table,"US blows up key Iranian bridge, steel plants",https://www.dawn.com/news/1987961/us-blows-up-key-iranian-bridge-steel-plants,,,,,,
E022,Pakistan,Iran,reaffirmed Islamabad’s commitment to facilitating dialogue between the United States and Iran,‘Diplomacy takes time’: Pak envoy reaffirms Islamabad’s commitment to Iran-US peace amid complex situation,https://www.dawn.com/news/1987129/diplomacy-takes-time-pak-envoy-reaffirms-islamabads-commitment-to-iran-us-peace-amid-complex-situation,,,,,,
E023,Israel,Iran,"He’s dead, he’s dead, he’s dead. They have been waiting for this for decades",Monday briefing: ​How are Iranians abroad grappling with loss and uncertainty from afar?,https://www.theguardian.com/world/2026/mar/09/monday-briefing-how-are-iranians-abroad-grappling-with-loss-and-uncertainty-from-afar,,,,,,
E024,China,US,"saying instead that their two countries “should be partners, not rivals”.","No hugs, ancient Greece and KFC: Five highlights from Trump-Xi talks",https://www.dawn.com/news/2000226/no-hugs-ancient-greece-and-kfc-five-highlights-from-trump-xi-talks,,,,,,
E025,Pakistan,Iran,"a day after the Pakistani prime minister, Shehbaz Sharif, spoke with the Iranian president, Masoud Pezeshkian",Iran accuses US of plotting ground assault while publicly seeking talks,https://www.theguardian.com/world/2026/mar/29/iran-accuses-us-plotting-ground-assault-publicly-seeking-talks,,,,,,
E026,Pakistan,US,"The US and Iran are close to a temporary agreement to halt the war in the Middle East, officials in Pakistan claimed","US and Iran close to temporary truce, Pakistani officials claim",https://www.theguardian.com/world/2026/may/07/us-and-iran-close-to-temporary-truce-pakistani-officials-claim,,,,,,
E027,Pakistan,Iran,"Pakistan’s foreign affairs ministry said the country’s deputy prime minister, Mohammad Ishaq Dar, had spoken on Sunday with Abbas Araghchi, Iran’s foreign minister, during a phone call that included discussion on “the need for continued dialogue and engagement as essential to resolving the current issues as soon as possible for promoting the peace and stability in the region and beyond”","Tehran has ‘no plans to participate’ in new talks, state media reports, as it accuses US of violating ceasefire",https://www.theguardian.com/world/2026/apr/19/trumps-sends-delegation-to-pakistan-for-possible-new-round-of-iran-war-talks,,,,,,
E028,Pakistan,Iran,Sharif hailed the ceasefire as a “shining moment” in Pakistan’s history,How Pakistan secured ‘biggest diplomatic win in years’ with Iran ceasefire,https://www.theguardian.com/world/2026/apr/08/pakistan-us-israel-iran-ceasefire,,,,,,
E029,UK,US,"Emily Thornberry, the chair of the UK’s foreign affairs committee, warned that China and Russia may be emboldened by the lack of condemnation for the US’s actions",What does the US raid in Venezuela mean for China’s designs on Taiwan?,https://www.theguardian.com/world/2026/jan/06/what-us-action-in-venezuela-means-for-taiwan,,,,,,
E030,US,Iran,Trump claimed that Iran has agreed to hand over its store of enriched uranium,Trump announces 10-day ceasefire in Lebanon after ‘excellent conversations’,https://www.theguardian.com/world/2026/apr/16/trump-announces-10-day-ceasefire-in-lebanon-after-excellent-conversations,,,,,,
E031,Pakistan,US,really tried to help us and the Iranians bridge the gap and get to a deal,"‘Pakistan opened door to dialogue’: Islamabad becoming a direct mediator, say US scholars",https://www.dawn.com/news/1991063/pakistan-opened-door-to-dialogue-islamabad-becoming-a-direct-mediator-say-us-scholars,,,,,,
E032,Pakistan,Israel,"to achieve long-lasting peace, it is very important that ceasefire violations must end to preserve life and advance reconstruction efforts",PM Shehbaz meets Rubio after Board of Peace summit in Washington,https://www.dawn.com/news/1974554/pm-shehbaz-meets-rubio-after-board-of-peace-summit-in-washington,,,,,,
E033,Pakistan,Iran,He pledged that peace talks involving both the US and Iran would go ahead in Islamabad on Friday,How Pakistan secured ‘biggest diplomatic win in years’ with Iran ceasefire,https://www.theguardian.com/world/2026/apr/08/pakistan-us-israel-iran-ceasefire,,,,,,
E034,Pakistan,US,Pakistan attempts to broker US-Iran peace talks,Trump news at a glance: president claims victory in Iran war as US prepares to deploy more troops ,https://www.theguardian.com/us-news/2026/mar/24/trump-news-at-a-glance-iran-war,,,,,,
E035,Israel,Iran,the attack by Israel and the US,Trump news at a glance: Congress divided on Iran attack as Trump appears to link operation to 2020 election loss,https://www.theguardian.com/us-news/2026/mar/02/donald-trump-iran-news-latest-today,,,,,,
E036,Iran,IAEA,accusing the UN body of bias and of failing to condemn the strikes,White House tells Iran to do deal as Trump hints at US strikes,https://www.dawn.com/news/1974344/white-house-tells-iran-to-do-deal-as-trump-hints-at-us-strikes,,,,,,
E037,Iran,Saudi_Arabia,"Iran’s Revolutionary Guards’ aerospace force commander, Majid Mousavi, said: “Iran’s southern neighbours should know that if their geographies and facilities are used in the service of enemies to attack the Iranian nation, they must say goodbye to oil production in the Middle East.”",Strait of Hormuz is hosting gunboat diplomacy as US and Iran vie for most effective blockade   ,https://www.theguardian.com/world/2026/apr/22/strait-of-hormuz-gunboat-diplomacy-us-iran-blockade,,,,,,
E038,Israel,Iran,the attack was in breach of international law,"Few will mourn leader of ‘evil’ regime Ali Khamenei, says UK defence secretary",https://www.theguardian.com/politics/2026/mar/01/uk-defence-secretary-john-healey-few-will-mourn-ali-khamenei-iran-us-israel,,,,,,
E039,Israel,Hezbollah,Israeli Prime Minister Benjamin Netanyahu vowed to “crush” Hezbollah in Lebanon,US carries out 'self-defence' strikes in Iran despite ceasefire,https://www.dawn.com/news/2003162/us-carries-out-self-defence-strikes-in-iran-despite-ceasefire,,,,,,
E040,Pakistan,Lebanon,"Both sides have declared the immediate and permanent termination of military operations on all fronts, including in Lebanon.",What do we know about the US-Iran peace deal – and what questions remain?,https://www.theguardian.com/world/2026/jun/15/us-iran-peace-deal-terms-details-conditions-explained-what-do-we-know-hormuz-lebanon-israel-nuclear,,,,,,
E041,Pakistan,China,Pakistan was able to call on China to provide assurances to Iran to enter into peace negotiations,Pakistan seeks to raise its global standing in push for Middle East peace,https://www.theguardian.com/world/2026/apr/20/pakistan-global-standing-mediator-us-iran-talks-middle-east,,,,,,
E042,Israel,Lebanon,"Israel’s attack on Wednesday, which left at least 303 people dead",JD Vance warns Iran against trying to ‘play’ the US in peace talks,https://www.theguardian.com/world/2026/apr/10/jd-vance-warns-iran-against-trying-to-play-the-us-in-peace-talks,,,,,,
E043,Pakistan,Iran,"Pakistan has been acting as a go-between for some time, delivering US messages to Tehran and back","Pakistan in the limelight as US, Iran ‘open backchannel’",https://www.dawn.com/news/1984752/pakistan-in-the-limelight-as-us-iran-open-backchannel,,,,,,
E044,Pakistan,Israel,"the Foreign Office spokesperson confirmed that while the situation in Gaza was a key topic of discussion during a recent visit by the President of Indonesia, Pakistan had made no commitment to join the ISF so far. “This is a sovereign decision of any country,” the spokesperson said. “As far as Pakistan is concerned, such a decision has not been taken as yet.” The spokesperson also recalled a recent conversation between Foreign Minister Ishaq Dar and his Saudi counterpart, Prince Faisal bin Farhan Al Saud, where Gaza was a primary topic. The two had strongly condemned Israel’s unilateral plan to restrict the Rafah crossing for the exit only of Gaza residents",Trump may appoint American general to lead Gaza force,https://www.dawn.com/news/1960563/trump-may-appoint-american-general-to-lead-gaza-force,,,,,,
E045,US,Iran,"“Right now the ceasefire certainly holds, but we’re going to be watching very, very closely,” he said","Trump pauses effort to escort ships in Strait of Hormuz, citing deal progress",https://www.dawn.com/news/1997967/trump-pauses-effort-to-escort-ships-in-strait-of-hormuz-citing-deal-progress,,,,,,
E046,Israel,Hezbollah,Israel has severely degraded the group’s capabilities through two years of daily airstrikes,Iran continues to hit back at US-Israeli strikes as Trump says it is too late to talk,https://www.theguardian.com/world/2026/mar/03/us-embassy-riyadh-hit-iranian-drones-israeli-troops-southern-lebanon,,,,,,
E047,Pakistan,UAE,"along with the efforts of the Turkish, Saudi and Emirati leadership",Trump thanks PM Shehbaz and ‘my favourite’ Field Marshal Asim Munir for Gaza peace efforts,https://www.dawn.com/news/1948608/trump-thanks-pm-shehbaz-and-my-favourite-field-marshal-asim-munir-for-gaza-peace-efforts,,,,,,
E048,Pakistan,US,We would like to thank the United States of America and the Islamic Republic of Iran for their commitment to finding a diplomatic solution,"US, Iran reach preliminary agreement to end war, signing set for Friday",https://www.dawn.com/news/2007972/us-iran-reach-preliminary-agreement-to-end-war-signing-set-for-friday,,,,,,
E049,Saudi_Arabia,US,"the Saudi crown prince, Mohammed bin Salman, the UAE president, Sheikh Mohamed bin Zayed, and the emir of Qatar, Sheikh Tamim bin Hamad Al Thani – requested a pause",Trump turns to Middle East allies as deal to end Iran war proves elusive,https://www.theguardian.com/world/2026/may/19/trump-iran-analysis,,,,,,
E050,Pakistan,US,"after a last-minute intervention by Pakistan’s prime minister, Shehbaz Sharif, and army chief, Gen Asim Munir",Hegseth claims Iran ‘begged’ for ceasefire after US and Tehran agree to two-week pause,https://www.theguardian.com/world/2026/apr/08/hegseth-press-briefing-iran-ceasefire,,,,,,
E051,Iran,US,"Foreign Minister Abbas Araghchi, who is leading the Iranian delegation at the talks, had called them “a historic opportunity”","Iran, US hold talks in Geneva in push to avert war",https://www.dawn.com/news/1975874/iran-us-hold-talks-in-geneva-in-push-to-avert-war,,,,,,
E052,Turkey,UN,lauded the “tireless efforts“ of United Nations’ organisations,"Pakistan, 7 other Muslim-majority nations express ‘deepest concern’ over deteriorating humanitarian conditions in Gaza",https://www.dawn.com/news/1964671/pakistan-7-other-muslim-majority-nations-express-deepest-concern-over-deteriorating-humanitarian-conditions-in-gaza,,,,,,
E053,China,Pakistan,"China called for the immediate reopening of the Strait of Hormuz, while praising Pakistan’s role in mediating the negotiations",'Shukriya Pakistan': Islamabad's mediatory role acclaimed as world welcomes US-Iran agreement,https://www.dawn.com/news/2007984/shukriya-pakistan-islamabads-mediatory-role-acclaimed-as-world-welcomes-us-iran-agreement,,,,,,
E054,US,Iran,The US has destroyed nine Iranian navy ships and largely destroyed Iran’s naval headquarters,Trump says 48 leaders killed in strikes on Iran: what we know so far on day two,https://www.theguardian.com/us-news/2026/mar/01/supreme-leader-killed-as-us-and-israel-wage-war-on-iran-what-we-know-so-far-on-day-two,,,,,,
E055,US,Iran,"US military said on X it had targeted Iranian air defence, ground control stations and surveillance radar sites",Iran targets American bases in Jordan and the Gulf after fresh US strikes near Hormuz,https://www.dawn.com/news/2006586/iran-targets-american-bases-in-jordan-and-the-gulf-after-fresh-us-strikes-near-hormuz,,,,,,
E056,US,Pakistan,Tehran and Washington have said Pakistan remains the primary conduit for negotiation,Iran offers new peace proposal to US but Trump ‘not satisfied’,https://www.theguardian.com/world/2026/may/01/pakistan-backchannel-us-iran-deal-peace,,,,,,
E057,US,Iran,they will never have nuclear weapons,Trump’s ever-changing rationale for war on Iran – how the story has shifted,https://www.theguardian.com/us-news/2026/mar/07/trump-rationale-war-iran-story,,,,,,
E058,Iran,EU,accusing the EU of acting as a proxy for Iran’s adversaries,Tehran rages at EU over ‘terrorist’ label for Revolu­tionary Guards,https://www.dawn.com/news/1969808/tehran-rages-at-eu-over-terrorist-label-for-revolutionary-guards,,,,,,
E059,Lebanon,France,Lebanese President Joseph Aoun rejected “accusations claiming that the Lebanese army is not fully carrying out its role south of the Litani River”,Three wounded in southern Syria after  Israeli incursion,https://www.dawn.com/news/1960248/three-wounded-in-southern-syria-after-israeli-incursion,,,,,,
E060,US,Israel,the U.S. and Israel began attacks on Iran,US skips congressional review to approve munitions sale to Israel,https://www.dawn.com/news/1979642/us-skips-congressional-review-to-approve-munitions-sale-to-israel,,,,,,
E061,Egypt,Israel,"we reiterate our rejection of all measures aimed at altering the demographic composition, character and status of the Palestinian Territory occupied since 1967, including East Jerusalem","Muslim, European countries condemn Israeli attempts aimed at ‘de facto annexation’ of Palestinian land in West Bank",https://www.dawn.com/news/1975650/muslim-european-countries-condemn-israeli-attempts-aimed-at-de-facto-annexation-of-palestinian-land-in-west-bank,,,,,,
E062,US,Iran,The US later said that it rescued two of its pilots from Iran,Fact check: Viral video does not show Iranian soldiers capturing US pilot after shooting down jet,https://www.dawn.com/news/1989168/fact-check-viral-video-does-not-show-iranian-soldiers-capturing-us-pilot-after-shooting-down-jet,,,,,,
E063,Russia,Pakistan,thanked Pakistan for maintaining neutrality on the Ukraine conflict at international forums,"Russian envoy terms Moscow talks ‘constructive, substantive’",https://www.dawn.com/news/1960748/russian-envoy-terms-moscow-talks-constructive-substantive,,,,,,
E064,Pakistan,Iran,called for starting peace talks as soon as possible,"Pakistan, China issue 5-point initiative for restoring peace in Middle East",https://www.dawn.com/news/1987106/pakistan-china-issue-5-point-initiative-for-restoring-peace-in-middle-east,,,,,,
E065,Pakistan,Iran,President Asif Ali Zardari expressed “deep grief and sorrow over the assassination of Dr Ali Ardeshir Larijani,Iran vows revenge for killing of security chief Ali Larijani by Israel,https://www.dawn.com/news/1983341/iran-vows-revenge-for-killing-of-security-chief-ali-larijani-by-israel,,,,,,
E066,Israel,Iran,Israel said it supported US President Donald Trump’s decision to suspend the bombing of Iran for two weeks,"Trump halts Iran attacks after talks with PM Shehbaz, CDF Munir; US, Iran reach ceasefire agreement",https://www.dawn.com/news/1989584/trump-halts-iran-attacks-after-talks-with-pm-shehbaz-cdf-munir-us-iran-reach-ceasefire-agreement,,,,,,
E067,Iran,Pakistan,“Pak­istan’s decision to distance itself from this force is encouraging.”,"Iranian envoy sees no war soon, but warns ‘region should stay on its toes’",https://www.dawn.com/news/1973125/iranian-envoy-sees-no-war-soon-but-warns-region-should-stay-on-its-toes,,,,,,
E068,Turkey,Israel,"Turkey’s president, Recep Tayyip Erdoğan, deplored the attacks, which he said were “instigated” by the Israeli prime minister, Benjamin Netanyahu",‘Imperialist undertones’: global south condemns US-Israeli war with Iran  ,https://www.theguardian.com/world/2026/mar/03/global-south-condemns-us-israeli-war-with-iran,,,,,,
E069,Russia,US,He said Russia was seeking to “clarify all the nuances” of the offer with Washington,"US invites Russia, Israel, Poland to Gaza ‘Board of Peace’",https://www.dawn.com/news/1967978/us-invites-russia-israel-poland-to-gaza-board-of-peace,,,,,,
E070,Iran,US,"Esmaeil Baghaei, to complain about inconsistencies in the US negotiating demands",US-Iran nuclear talks end without a deal as threat of war grows,https://www.theguardian.com/world/2026/feb/26/trump-attack-threat-looms-as-nuclear-talks-between-us-and-iran-go-to-wire,,,,,,
E071,Pakistan,Lebanon,"Pakistan, which accelerated its mediation efforts after Trump threatened a civilisation-ending onslaught, has said Lebanon had been part of the agreement",Netanyahu says there is no ceasefire in Lebanon as Israel launches fresh strikes,https://www.theguardian.com/world/2026/apr/09/israel-bombing-lebanon-us-iran-ceasefire-condemnation,,,,,,
E072,US,Iran,we may hit it a few more times just for fun,Iran threatens to escalate war after Trump says ‘many countries’ will send warships to strait of Hormuz,https://www.theguardian.com/world/2026/mar/13/trump-military-kharg-island-iran-oil-export,,,,,,
E073,EU,Russia,The European Union also lashed out at Russia’s threat,Russian call for diplomats to leave Kyiv draws Western backlash,https://www.dawn.com/news/2003397/russian-call-for-diplomats-to-leave-kyiv-draws-western-backlash,,,,,,
E074,UN,Pakistan,stressing the need to hold those responsible accountable,"US expresses solidarity after Balochistan attacks, says it stands ‘steadfast’ with Pakistan",https://www.dawn.com/news/1971404/us-expresses-solidarity-after-balochistan-attacks-says-it-stands-steadfast-with-pakistan,,,,,,
E075,Iran,US,"Iranian supreme leader Ayatollah Ali Khamenei on Sunday likened the recent protests to a “coup”, warning that a US attack would trigger a broad conflict",Trump hopeful of Iran deal after Tehran warns of regional war,https://www.dawn.com/news/1970413/trump-hopeful-of-iran-deal-after-tehran-warns-of-regional-war,,,,,,
E076,Iran,US,Iran’s Revolutionary Guards said late on Saturday they had launched a missile salvo at US forces stationed at a major base in Saudi Arabia’s Al-Kharj,War escalates as US strikes Iran’s energy lifeline,https://www.dawn.com/news/1982253/war-escalates-as-us-strikes-irans-energy-lifeline,,,,,,
E077,Iran,Pakistan,thanked Malaysia for its humanitarian stance and Pakistan for its initiative and effective efforts to reach an agreement,Iran says ‘nothing final’ as Trump weighs deal,https://www.dawn.com/news/2003852/iran-says-nothing-final-as-trump-weighs-deal,,,,,,
E078,Iran,US,Tehran is willing to restart nuclear talks with Washington as long as it is treated with “dignity and respect”,Iran says it could rejoin US nuclear talks if treated with ‘dignity and respect’,https://www.theguardian.com/world/2025/nov/16/iran-could-rejoin-us-nuclear-talks,,,,,,
E079,US,Iran,Trump was quoted as saying by a Fox News reporter that he blamed Kurdish intermediaries for having taken weapons destined for Iranian dissidents,"Trump says Vance, Witkoff, Kushner talking with intermediaries in Pakistan; Iran could be ‘taken out’ on Tuesday",https://www.dawn.com/news/1989227/trump-says-vance-witkoff-kushner-talking-with-intermediaries-in-pakistan-iran-could-be-taken-out-on-tuesday,,,,,,
E080,Iran,Qatar,Qatar’s Prime Minister Sheikh Mohammed bin Abdulrahman bin Jassim Al Thani also had a phone call with Araghchi,Trump opts for talks with Iran over the phone,https://www.dawn.com/news/1995338/trump-opts-for-talks-with-iran-over-the-phone,,,,,,
E081,Pakistan,China,The two countries were “supportive” of Pakistan’s efforts,"No date set for second round of US-Iran talks, FO says",https://www.dawn.com/news/1992276/no-date-set-for-second-round-of-us-iran-talks-fo-says,,,,,,
E082,Pakistan,US,"Pakistani officials, mediating between an unpredictable US president and hardliners in Tehran",Pakistan seeks to raise its global standing in push for Middle East peace,https://www.theguardian.com/world/2026/apr/20/pakistan-global-standing-mediator-us-iran-talks-middle-east,,,,,,
E083,Pakistan,China,Pakistan had set up secret talks in 1971 that led to the establishment of diplomatic relations between China and the US,Pakistan seeks to raise its global standing in push for Middle East peace,https://www.theguardian.com/world/2026/apr/20/pakistan-global-standing-mediator-us-iran-talks-middle-east,,,,,,
E084,EU,Lebanon,von der Leyen and Costa “expressed openness” to enhance the maritime defensive operations Aspides and Atalanta,Von der Leyen calls for EU foreign policy to be ‘more realistic and interest-driven’,https://www.theguardian.com/world/2026/mar/09/ursula-von-der-leyen-eu-foreign-policy-more-realistic-interest-driven,,,,,,
E085,Israel,Hezbollah,Israel said its military had raided Hezbollah sites on Sunday and killed 10 of the group’s fighters,Iran vows to destroy Middle East water and energy facilities if US attacks power plants ,https://www.theguardian.com/world/2026/mar/22/iran-says-destroy-middle-east-infrastructure-us-energy-sites,,,,,,
E086,Pakistan,Turkey,"Pakistan, seen as a potential mediator between Washington and Tehran, hosted a four-way meeting with Saudi Arabia, Turkey and Egypt",Iran accuses US of plotting ground assault while publicly seeking talks,https://www.theguardian.com/world/2026/mar/29/iran-accuses-us-plotting-ground-assault-publicly-seeking-talks,,,,,,
E087,Israel,Lebanon,Israel — which occupied southern Lebanon for nearly two decades until 2000 — carried out new strikes across the country,US reportedly sends peace plan as Iran opens Strait of Hormuz to ‘non-hostile’ oil vessels,https://www.dawn.com/news/1985150/us-reportedly-sends-peace-plan-as-iran-opens-strait-of-hormuz-to-non-hostile-oil-vessels,,,,,,
E088,Pakistan,Iran,Pakistan shall continue its earnest efforts for negotiated settlement of conflict,"‘At the request of CDF Munir, PM Shehbaz’, Trump announces extension in ceasefire until Iran submits proposal",https://www.dawn.com/news/1993810/at-the-request-of-cdf-munir-pm-shehbaz-trump-announces-extension-in-ceasefire-until-iran-submits-proposal,,,,,,
E089,Qatar,EU,"declared force majeure on gas exports on Wednesday, freeing it from contractual obligations to its customers",Oil price continues to rise amid Middle East crisis but stock markets rebound across Asia,https://www.theguardian.com/business/2026/mar/05/oil-price-continues-to-rise-amid-middle-east-crisis-but-stock-markets-rebound-across-asia,,,,,,
E090,Pakistan,US,"Pakistan’s prime minister, Shehbaz Sharif, announced that Iran, the US and their allies had agreed to an immediate ceasefire",Iran war ceasefire announcement – what we know so far,https://www.theguardian.com/world/2026/apr/08/trump-iran-war-ceasefire-deadline-what-we-know-so-far,,,,,,
E091,Pakistan,Turkey,"its recent quadrilateral meeting in Islamabad with the foreign ministers of Saudi Arabia, Turkiye and Egypt",China’s FM Wang Yi appreciates Pakistan’s active diplomatic efforts in promoting Middle East peace: FO,https://www.dawn.com/news/1987454/chinas-fm-wang-yi-appreciates-pakistans-active-diplomatic-efforts-in-promoting-middle-east-peace-fo,,,,,,
E092,Israel,Iran,adding that the best way would be to enter Iran to secure the fissile material as part of an agreement,Trump calls Iran’s response to peace plan ‘totally unacceptable’ as ceasefire frays,https://www.theguardian.com/world/2026/may/10/iran-us-peace-proposal-pakistan-reported-drone-strikes-strain-ceasefire,,,,,,
E093,US,Germany,"withdraw 5,000 troops from Germany","Nato seeks details as US says it will pull about 5,000 troops from Germany",https://www.dawn.com/news/1996900/nato-seeks-details-as-us-says-it-will-pull-about-5000-troops-from-germany,,,,,,
E094,UAE,Pakistan,expressing its full solidarity with them,Second Pakistani killed in UAE due to falling debris from aerial interception amid ongoing Iran-US-Israel war,https://www.dawn.com/news/1979732/second-pakistani-killed-in-uae-due-to-falling-debris-from-aerial-interception-amid-ongoing-iran-us-israel-war,,,,,,
E095,US,Pakistan,"The letter also emphasises Pakistan’s readiness to absorb the technology, stating that the country “has shown a commitment to maintaining its military forces and will have no difficulty absorbing these articles and services into its armed forces",US approves sale of tech worth $686m for Pakistan’s F-16 fighter jets,https://www.dawn.com/news/1960342/us-approves-sale-of-tech-worth-686m-for-pakistans-f-16-fighter-jets,,,,,,
E096,Israel,Lebanon,Israel’s military clashed with Hezbollah fighters along a strategic river in southern Lebanon,US and Iran exchange strikes as Israel intensifies attacks on southern Lebanon,https://www.theguardian.com/world/2026/may/28/us-new-strikes-iran-israel-intensifies-attacks-southern-lebanon,,,,,,
E097,Qatar,US,other states – including the UAE and Qatar – also worked hard to find diplomatic solutions,Oman claims Israel pushed US into Iran war when deal was possible,https://www.theguardian.com/world/2026/mar/19/us-lost-control-of-its-own-foreign-policy-oman-foreign-minister,,,,,,
E098,Egypt,Pakistan,"He noted proposals under discussion, including reformulating the Pakistan-Egypt Business Council and convening a business forum in either Karachi or Cairo to connect the private sectors of both countries","Egypt FM says Gaza peace force should ‘monitor’ ceasefire, backs bigger Pakistani role in reconstruction",https://www.dawn.com/news/1958172/egypt-fm-says-gaza-peace-force-should-monitor-ceasefire-backs-bigger-pakistani-role-in-reconstruction,,,,,,
E099,Iran,Pakistan,Araghchi sat down with Pakistani officials to convey “Iran’s positions and views on the framework of any understanding to completely end the war”,Trump opts for talks with Iran over the phone,https://www.dawn.com/news/1995338/trump-opts-for-talks-with-iran-over-the-phone,,,,,,
