outlet,phase,source,target,polarity,raw_verb,quote,doc_id
dawn,pre,US,Israel,positive,announced,United States President Donald Trump has announced that Israel and Hamas have reached a long-sought deal for a Gaza ceasefire and hostage release under his plan,27_0
dawn,pre,UN,US,positive,commend,"I commend the diplomatic efforts of the United States, Qatar, Egypt and Turkiye in brokering this desperately needed breakthrough",27_0
dawn,pre,UN,Qatar,positive,commend,"I commend the diplomatic efforts of the United States, Qatar, Egypt and Turkiye in brokering this desperately needed breakthrough",27_0
dawn,pre,UN,Egypt,positive,commend,"I commend the diplomatic efforts of the United States, Qatar, Egypt and Turkiye in brokering this desperately needed breakthrough",27_0
dawn,pre,UN,Turkey,positive,commend,"I commend the diplomatic efforts of the United States, Qatar, Egypt and Turkiye in brokering this desperately needed breakthrough",27_0
dawn,pre,UN,Israel,positive,urge,I urge all concerned to abide fully by the terms of the agreement,27_0
dawn,pre,UN,Israel,positive,support,The United Nations will support the full implementation of the agreement,27_0
dawn,pre,UK,Israel,positive,call on,We call on all parties to meet the commitments they have made,27_0
dawn,pre,EU,Israel,positive,support,The EU will do what it can to support its implementation,27_0
dawn,pre,Turkey,Israel,positive,expect,We expect the ceasefire agreement to be fully implemented,27_0
dawn,pre,Saudi_Arabia,Israel,negative,stresses,The Kingdom stresses the need to adhere to the agreement and stop the Israeli aggression against Gaza,27_0
dawn,pre,China,Israel,positive,hoped,Beijing hoped for a “permanent and comprehensive” ceasefire in Gaza as soon as possible,27_0
dawn,pre,US,Pakistan,positive,thanked,United States President Donald Trump especially thanked Prime Minister Shehbaz Sharif,45_0
dawn,pre,US,Egypt,positive,thanked,Trump was addressing a ceremony following the signing of a ceasefire agreement between Israel and Hamas at the Sharm el-Sheikh Peace Summit in Egypt,45_0
dawn,pre,Pakistan,US,positive,thanked,PM Shehbaz thanked Trump and the Egyptian President Abdel Fattah El-Sisi for their efforts in securing the peace deal,45_0
dawn,pre,Pakistan,Egypt,positive,thanked,PM Shehbaz thanked Trump and the Egyptian President Abdel Fattah El-Sisi for their efforts in securing the peace deal,45_0
dawn,pre,Pakistan,US,positive,nominated,Pakistan had nominated President Trump for the Nobel Peace Prize for his outstanding and extraordinary contributions,45_0
dawn,pre,Pakistan,US,positive,salute,said he wanted to salute Trump for his “exemplary [and] visionary leadership”,45_0
dawn,pre,Pakistan,Qatar,positive,thanked,The premier also thanked the Qatari emir for his efforts in securing peace in Gaza and the wider region,45_0
dawn,pre,Pakistan,Turkey,positive,thanked,"along with the efforts of the Turkish, Saudi and Emirati leadership",45_0
dawn,pre,Pakistan,Saudi_Arabia,positive,thanked,"along with the efforts of the Turkish, Saudi and Emirati leadership",45_0
dawn,pre,Pakistan,UAE,positive,thanked,"along with the efforts of the Turkish, Saudi and Emirati leadership",45_0
dawn,pre,Pakistan,US,positive,hailed,PM Shehbaz hailed the peace plan a “crucial step towards lasting peace in the Middle East”,45_0
dawn,pre,Pakistan,Egypt,positive,hailed,PM Shehbaz hailed the peace plan a “crucial step towards lasting peace in the Middle East”,45_0
dawn,pre,Pakistan,US,positive,grateful,"Grateful to our co-hosts, President El Sisi and President Trump",45_0
dawn,pre,Pakistan,Egypt,positive,grateful,"Grateful to our co-hosts, President El Sisi and President Trump",45_0
dawn,pre,Pakistan,US,positive,reiterated his praise,reiterated his praise for United States President Donald Trump,57_0
dawn,pre,Pakistan,US,positive,express admiration,Pakistan would continue to “express admiration” for the American leader’s “unique contribution” to peace,57_0
dawn,pre,US,Pakistan,positive,mentioned,the US president had especially mentioned the premier and the army chief,57_0
dawn,pre,Pakistan,US,positive,gratitude,"Our gratitude to President Trump is anchored in him promising that he would make it stop, and delivering on that promise",57_0
dawn,pre,Pakistan,US,positive,express our admiration,We will continue to express our admiration for President Trump’s unique contribution to peace,57_0
dawn,pre,Pakistan,US,positive,nominate,he had again expressed his desire to nominate Trump for the Nobel Peace Prize,57_0
dawn,pre,Pakistan,US,positive,nominated,Pakistan had nominated President Trump for the Nobel Peace Prize for his outstanding and extraordinary contributions,57_0
dawn,pre,Pakistan,US,positive,nominate,I would like to nominate this great president for the Nobel Peace Prize,57_0
dawn,pre,US,Egypt,positive,signed,"Trump and the leaders of Egypt, Qatar and Turkiye signed the declaration as guarantors to the ceasefire deal",55_0
dawn,pre,US,Qatar,positive,signed,"Trump and the leaders of Egypt, Qatar and Turkiye signed the declaration as guarantors to the ceasefire deal",55_0
dawn,pre,US,Turkey,positive,signed,"Trump and the leaders of Egypt, Qatar and Turkiye signed the declaration as guarantors to the ceasefire deal",55_0
dawn,pre,US,Egypt,positive,welcoming,"Trump signed a document with Egypt, Qatar and Turkiye’s leaders welcoming the agreements on Gaza",55_0
dawn,pre,US,Qatar,positive,welcoming,"Trump signed a document with Egypt, Qatar and Turkiye’s leaders welcoming the agreements on Gaza",55_0
dawn,pre,US,Turkey,positive,welcoming,"Trump signed a document with Egypt, Qatar and Turkiye’s leaders welcoming the agreements on Gaza",55_0
dawn,pre,US,Egypt,positive,pledging,pledging to “work collectively to implement and sustain this legacy”,55_0
dawn,pre,US,Qatar,positive,pledging,pledging to “work collectively to implement and sustain this legacy”,55_0
dawn,pre,US,Turkey,positive,pledging,pledging to “work collectively to implement and sustain this legacy”,55_0
dawn,pre,Pakistan,US,positive,nominated,the premier took the opportunity to again nominate Trump for the Nobel Peace Prize,55_0
dawn,pre,Israel,US,positive,thanked,The prime minister thanked President Trump for his invitation and for his efforts to expand the circle of peace,55_0
dawn,pre,US,Israel,positive,create better conditions for people,We’re going to create better conditions for people,23_0
dawn,pre,US,Israel,positive,release of all the captives held in gaza,"Trump’s plan called for a ceasefire, the release of all the captives held in Gaza",23_0
dawn,pre,US,Israel,positive,signed off on the first phase of our peace plan,I am very proud to announce that Israel and Hamas have both signed off on the first phase of our Peace Plan,23_0
dawn,pre,US,Israel,positive,israel will withdraw their troops to an agreed upon line,"Israel will withdraw their Troops to an agreed upon line as the first steps toward a Strong, Durable, and Everlasting Peace",23_0
dawn,pre,US,Qatar,positive,thanked mediators,"Trump also thanked mediators Qatar, Egypt and Turkiye",23_0
dawn,pre,US,Egypt,positive,thanked mediators,"Trump also thanked mediators Qatar, Egypt and Turkiye",23_0
dawn,pre,US,Turkey,positive,thanked mediators,"Trump also thanked mediators Qatar, Egypt and Turkiye",23_0
dawn,pre,Israel,US,positive,"thanking the us president for his leadership, his partnership, and his unwavering commitment","thanking the US president for “his leadership, his partnership, and his unwavering commitment to the safety of Israel and the freedom of our hostages”",23_0
dawn,pre,US,Israel,positive,brokered,the ceasefire he helped broker in the Gaza conflict,46_0
dawn,pre,US,Israel,positive,joined,after the US joined Israel in striking the Islamic republic’s nuclear sites,46_0
dawn,pre,US,Iran,negative,striking,after the US joined Israel in striking the Islamic republic’s nuclear sites,46_0
dawn,pre,Israel,Iran,negative,striking,after the US joined Israel in striking the Islamic republic’s nuclear sites,46_0
dawn,pre,Israel,US,positive,described,He described Trump as the “greatest friend” Israel has ever had in the White House,46_0
dawn,pre,Iran,US,negative,criticised,Iran’s foreign ministry on Tuesday criticised US President Donald Trump’s call for dialogue,62_0
dawn,pre,Iran,US,negative,accusing,accusing Washington of “hostile and criminal behaviour”,62_0
dawn,pre,Iran,US,negative,said,"Khamenei, who said Tehran’s issue with Washington was currently “unsolvable” as the other side wants “Iran to be obedient to America.”",62_0
dawn,pre,Iran,US,negative,denounced,Iran on Tuesday denounced “baseless claims” made by United States President Donald Trump,59_0
dawn,pre,Iran,US,negative,calling,calling Washington “the largest sponsor of terrorism”,59_0
dawn,pre,Iran,US,negative,said,"The US, as the world’s largest generator of terrorism and supporter of the terrorist and genocidal Zionist (Israeli) regime, has no moral authority to level accusations against others",59_0
dawn,pre,Iran,US,negative,said,The repetition of false claims regarding Iran’s peaceful nuclear programme can in no way justify the joint crimes of the US and the Zionist regime,59_0
dawn,pre,Iran,US,negative,called for holding,The ministry called for holding Washington accountable for its role “in the impunity” of Israel,59_0
dawn,pre,Iran,US,negative,preventing,including by preventing any effective action against Israel in the UN Security Council,59_0
dawn,pre,Iran,US,negative,obstructing,obstructing international judicial processes aimed at prosecuting Israeli criminals,59_0
dawn,pre,China,Pakistan,positive,keeps aware,Pakistan keeps its strategic ally aware of its cooperation with the United States in the mining sector,64_0
dawn,pre,China,Pakistan,positive,maintained,the two countries have maintained a “high-level strategic mutual trust and close communication”,64_0
dawn,pre,China,Pakistan,positive,have maintained,The two countries have maintained high-level strategic mutual trust and close communication on major issues concerning each other’s common interests,64_0
dawn,pre,Pakistan,China,positive,stressed,Pakistan stressed that its interactions with the US will never harm China’s interests or its cooperation with China,64_0
dawn,pre,China,Pakistan,positive,said,The samples that the Pakistani leaders showed and gave to the US leader are gem ores purchased by staff in Pakistan,64_0
dawn,pre,China,Pakistan,positive,said,They are just baseless,64_0
dawn,pre,China,Pakistan,positive,reiterated,He reiterated that China and Pakistan were “all-weather strategic cooperative partners” whose iron-clad friendship “has stood the test of time’’,64_0
dawn,pre,Iran,US,negative,rejected,rejected an offer for renewed nuclear talks from the United States President Donald Trump,102_0
dawn,pre,Iran,US,negative,denied,denied Washington’s assertions that it had destroyed Tehran’s nuclear capabilities,102_0
dawn,pre,Iran,US,negative,dismissed,Khamenei forcefully dismissed Trump’s reputation as a negotiator,102_0
dawn,pre,Iran,US,negative,ridiculed,Khamenei also ridiculed US claims of having successfully dismantled Iran’s nuclear infrastructure,102_0
dawn,pre,Iran,IAEA,negative,scrapped,"Iran confirmed on Monday that it has officially scrapped a cooperation agreement with the the United Nations’ nuclear watchdog, International Atomic Energy Agency",102_0
dawn,pre,Iran,France,negative,sabotaged,sabotaged by the irresponsible actions of the three European countries,87_0
dawn,pre,Iran,UK,negative,sabotaged,sabotaged by the irresponsible actions of the three European countries,87_0
dawn,pre,Iran,Germany,negative,sabotaged,sabotaged by the irresponsible actions of the three European countries,87_0
dawn,pre,UN,Israel,neutral,urge,We urge all parties to honour all of their commitments,99_0
dawn,pre,Germany,Turkey,positive,supported,"German Foreign Minister Johann Wadephul, who was in Ankara last week, said Berlin supported the jets purchase",110_0
dawn,pre,US,Turkey,positive,seeking creative solutions,his administration is seeking creative solutions to all of these pending issues,110_0
dawn,pre,US,Pakistan,positive,helping,praised Trump for his “leadership and proactive role” in helping the two neighbours achieve peace in the region,109_0
dawn,pre,US,Pakistan,positive,talked,we did talk a little while ago about let’s have no wars with Pakistan,109_0
dawn,pre,US,Israel,neutral,said,Washington does not view yesterday’s strike carried out by Israel in Gaza as a violation of a US-backed ceasefire,144_0
dawn,pre,US,Israel,neutral,said,We don’t view that as a violation of the ceasefire,144_0
dawn,pre,US,Israel,neutral,added,"Israel has not surrendered its right to self-defence as part of the agreement brokered by Washington, Egypt and Qatar",144_0
dawn,pre,US,Israel,neutral,insisted,"They have the right if there’s an imminent threat to Israel, and all the mediators agree with that",144_0
dawn,pre,Israel,US,neutral,dismissed,Israel’s cabinet also dismissed any notion of American dominance over its security policies,139_0
dawn,pre,Israel,Egypt,positive,allowed the entry of,Israel had allowed the entry of an Egyptian technical team to work with the Red Cross to locate the bodies,139_0
dawn,pre,UK,Turkey,positive,signed a deal,British Prime Minister Keir Starmer signed a deal on Monday under which Turkiye will buy 20 Eurofighter Typhoon jets,148_0
dawn,pre,Turkey,UK,positive,buy,Turkiye will buy 20 Eurofighter Typhoon jets for eight billion pounds ($11bn),148_0
dawn,pre,US,Israel,positive,support,"The third US–Israel MoU (memorandum of understanding), effective until 2028, guarantees $3.3 billion [per] year in FMF (foreign military financing) plus $500 million [per] year for missile defence.",163_0
dawn,pre,US,Israel,positive,transferred,"since October 2023, the US has transferred 742 consignments of “arms and ammunition” and approved tens of billions in new weapon sales.",163_0
dawn,pre,China,Israel,positive,sent,"Between October 2023 and October 2025, 26 States sent at least 10 consignments of “arms and ammunition” to Israel, the most frequent being China",163_0
dawn,pre,France,Israel,positive,sent,"Between October 2023 and October 2025, 26 States sent at least 10 consignments of “arms and ammunition” to Israel, the most frequent being China, including Taiwan, India, Italy, Austria, Spain, Czechia, Romania and France",163_0
dawn,pre,UK,Israel,positive,allow,"the UK did not directly supply arms, it did allow for a US supply line to Tel Aviv through its bases in Cyprus and flew 600 surveillance flights over Gaza during the past two years.",163_0
dawn,pre,Germany,Israel,positive,support,"The third US–Israel MoU (memorandum of understanding), effective until 2028, guarantees $3.3 billion [per] year in FMF (foreign military financing) plus $500 million [per] year for missile defence.",163_0
dawn,pre,EU,Russia,negative,did,as the [European Union] did with Russia following its invasion of Ukraine,163_0
dawn,pre,UN,UAE,negative,denied,though Abu Dhabi has denied giving any support to the paramilitary group,189_0
dawn,pre,Pakistan,Israel,negative,demand,Pakistan to demand complete Israeli withdrawal,199_0
dawn,pre,Turkey,Israel,negative,emphasise,emphasise the importance of coordinated action by Muslim countries for the ceasefire to evolve into a lasting peace,199_0
dawn,pre,Turkey,Israel,negative,making excuses,Israel is “making excuses” to end the ceasefire,199_0
dawn,pre,Turkey,Israel,negative,emphasise,emphasise the need for the international community to “take a resolute stance against Israel’s provocative actions”,199_0
dawn,pre,Turkey,Israel,negative,not fulfilled,Israel has not fulfilled its obligations in this regard,199_0
dawn,pre,Pakistan,Israel,negative,emphasise,Pakistan will emphasise the need for the full implementation of the ceasefire agreement and complete Israeli withdrawal,199_0
dawn,pre,Pakistan,Israel,negative,reiterate,"Pakistan will also reiterate the need for collective efforts aimed at achieving an independent, viable, and contiguous State of Palestine",199_0
dawn,pre,Iran,US,negative,said,Cooperation between Iran and the United States is not possible as long as Washington continues to support Israel and to maintain military bases and interfere in the Middle East region,205_0
dawn,pre,US,Iran,positive,said,Trump said in October that the US is prepared to make a deal with Iran when Tehran is ready to do so,205_0
dawn,pre,US,Iran,positive,is open,The hand of friendship and cooperation [with Iran] is open,205_0
dawn,pre,Oman,Iran,positive,urged,Oman urges Tehran and Washington to resume stalled nuclear talks,201_0
dawn,pre,Oman,US,positive,urged,Oman urges Tehran and Washington to resume stalled nuclear talks,201_0
dawn,pre,US,Iran,negative,strikes obliterated,US President Donald Trump has said the strikes obliterated Iran’s nuclear programme,201_0
dawn,pre,Oman,Iran,positive,urged,"Oman, Iran’s traditional intermediary, urged the two countries on Saturday to resume talks",201_0
dawn,pre,Oman,US,positive,urged,"Oman, Iran’s traditional intermediary, urged the two countries on Saturday to resume talks",201_0
dawn,pre,Oman,Iran,positive,want to return to the negotiations,We want to return to the negotiations between Iran [and] the United Sta­tes,201_0
dawn,pre,Oman,US,positive,want to return to the negotiations,We want to return to the negotiations between Iran [and] the United Sta­tes,201_0
dawn,pre,US,Iran,negative,accused,The United States accused Iran on Friday of “plotting to assassinate” Israel’s ambassador to Mexico,237_0
dawn,pre,Israel,Iran,negative,attacked,"when Israel attacked the Iranian embassy complex in Damascus, killing several top officers of the Revolutionary Guards",237_0
dawn,pre,Israel,Iran,negative,carried out,"Israel carried out a much more extensive bombing campaign in Iran this year that killed more than 1,000 people",237_0
dawn,pre,US,Iran,negative,joined by bombing,The United States joined by bombing key nuclear sites,237_0
dawn,pre,US,Pakistan,neutral,shared the draft,Washington’s UN envoy Mike Waltz shared the draft with the 10 elected Security Council members — which includes Pakistan,236_0
dawn,pre,US,Saudi_Arabia,positive,talking up,United States President Donald Trump has been talking up the prospects of Saudi Arabia agreeing to normalise ties with Israel,249_0
dawn,pre,Saudi_Arabia,US,neutral,signalled,Riyadh has signalled to Washington through diplomatic channels that its position has not changed,249_0
dawn,pre,Saudi_Arabia,US,neutral,signalled,Riyadh had signalled to Washington that any move to recognise Israel must be part of a new framework,249_0
dawn,pre,Saudi_Arabia,Israel,negative,called for,"Saudi Foreign Ministry official Manal Radwan has called for a clear, time-bound Israeli withdrawal from the Gaza Strip",249_0
dawn,pre,Saudi_Arabia,US,neutral,pushed for,"Riyadh, according to the two Gulf sources, pushed for provisions to allow future US administrations to elevate the pact to a full treaty",249_0
dawn,pre,Saudi_Arabia,US,neutral,negotiations,The Saudi-American negotiations have undergone a fundamental shift in environment and context following the developments in Gaza since October 7,249_0
dawn,pre,Saudi_Arabia,US,neutral,wanted,Riyadh now wanted Saudi national security requirements addressed separately,249_0
dawn,pre,Saudi_Arabia,US,neutral,expand,"The current deal would expand joint military exercises, deepen cooperation between US and Saudi defence firms",249_0
dawn,pre,Saudi_Arabia,China,neutral,limit,include safeguards to limit Riyadh’s military-industrial ties with China,249_0
dawn,pre,Pakistan,US,positive,supporting,supporting a US-backed resolution that lifted UN sanctions against both Syrian leaders,245_0
dawn,pre,China,US,negative,did not fully heed,did not fully heed the views of all members and forced the Council to take action,245_0
dawn,pre,Pakistan,US,positive,described,Ambassador Sheikh said the two sides explored practical ways to translate recent high-level political resolve into concrete cooperation,241_0
dawn,pre,US,Pakistan,positive,said,Kapur said it was a “pleasure” to meet the Pakistani envoy,241_0
dawn,pre,US,Pakistan,positive,discussed,We discussed ways to advance the US-Pakistan relationship and make our countries more prosperous and secure,241_0
dawn,pre,Iran,UAE,negative,seized,they had seized an oil tanker in the Gulf as it sailed away from a UAE port,284_0
dawn,pre,Iran,US,neutral,said,The US Navy had earlier said it was “actively monitoring the situation”,284_0
dawn,pre,Iran,Pakistan,positive,called for continued dialogue,called for continued dialogue between Pakistan and Afghanistan to resolve their ongoing disputes on cross-border terrorism,271_0
dawn,pre,Russia,Pakistan,positive,called for continued dialogue,called for continued dialogue between Pakistan and Afghanistan to resolve their ongoing disputes on cross-border terrorism,271_0
dawn,pre,Russia,Pakistan,positive,welcomed,"welcomed the agreement reached between Kabul and Islamabad, mediated by the authorities of Qatar and Türkiye, on a mutual ceasefire and an end to cross-border shootings along the Afghan-Pakistani frontier",271_0
dawn,pre,Iran,Pakistan,positive,expressed concern,expressed concern over the recent clashes between Afghanistan and Pakistan,271_0
dawn,pre,Iran,Pakistan,positive,called for enhanced dialogue and cooperation,called for enhanced dialogue and cooperation among regional countries in this regard,271_0
dawn,pre,Iran,US,negative,warned,Araghchi warned that such initiatives contradict the Palestinian people’s right to self-determination and are doomed to fail,271_0
dawn,pre,Iran,France,negative,accused,"Russia accused France, the United Kingdom and Germany of “attempting to initiate an anti-Iranian campaign” at the IAEA meeting",271_0
dawn,pre,Iran,UK,negative,accused,"Russia accused France, the United Kingdom and Germany of “attempting to initiate an anti-Iranian campaign” at the IAEA meeting",271_0
dawn,pre,Iran,Germany,negative,accused,"Russia accused France, the United Kingdom and Germany of “attempting to initiate an anti-Iranian campaign” at the IAEA meeting",271_0
dawn,pre,Iran,Russia,positive,reaffirming,reaffirming the “firm determination of their countries to expand cooperation in all areas of mutual interest”,271_0
dawn,pre,Russia,Iran,positive,reaffirming,reaffirming the “firm determination of their countries to expand cooperation in all areas of mutual interest”,271_0
dawn,pre,Iran,Russia,positive,underscored the need for continued talks,"underscored the need for continued talks between Iran and Russia, as well as with other regional partners, to “explore ways of preserving peace and stability”",271_0
dawn,pre,Russia,Iran,positive,reaffirmed,"reaffirmed their “mutual commitment to the unconditional implementation of the Treaty on Comprehensive Strategic Partnership between Russia and Iran, which entered into force on October 2”",271_0
dawn,pre,US,UAE,positive,thanking,thanking the Arab and Muslim countries endorsing the resolution,285_2
dawn,pre,Pakistan,US,positive,expressing support,Pakistan joined other key Muslim and Arab states on Friday in expressing support for a US resolution,277_0
dawn,pre,Qatar,US,positive,expressing support,"Qatar, Egypt, the United Arab Emirates, the Kingdom of Saudi Arabia, Indonesia, Jordan, Turkiye and the United States expressed their joint support for the UN Security Council (UNSC) resolution",277_0
dawn,pre,Egypt,US,positive,expressing support,"Qatar, Egypt, the United Arab Emirates, the Kingdom of Saudi Arabia, Indonesia, Jordan, Turkiye and the United States expressed their joint support for the UN Security Council (UNSC) resolution",277_0
dawn,pre,UAE,US,positive,expressing support,"Qatar, Egypt, the United Arab Emirates, the Kingdom of Saudi Arabia, Indonesia, Jordan, Turkiye and the United States expressed their joint support for the UN Security Council (UNSC) resolution",277_0
dawn,pre,Saudi_Arabia,US,positive,expressing support,"Qatar, Egypt, the United Arab Emirates, the Kingdom of Saudi Arabia, Indonesia, Jordan, Turkiye and the United States expressed their joint support for the UN Security Council (UNSC) resolution",277_0
dawn,pre,Jordan,US,positive,expressing support,"Qatar, Egypt, the United Arab Emirates, the Kingdom of Saudi Arabia, Indonesia, Jordan, Turkiye and the United States expressed their joint support for the UN Security Council (UNSC) resolution",277_0
dawn,pre,Turkey,US,positive,expressing support,"Qatar, Egypt, the United Arab Emirates, the Kingdom of Saudi Arabia, Indonesia, Jordan, Turkiye and the United States expressed their joint support for the UN Security Council (UNSC) resolution",277_0
dawn,pre,US,UN,positive,urged,"The United States, in an earlier statement, urged the UNSC to formally endorse its draft resolution",277_0
dawn,pre,US,UN,positive,urge,we urge the Council to unite and move forward to secure the peace that is desperately needed,277_0
dawn,pre,US,Qatar,positive,began drafting,"the US began drafting a UNSC resolution with input from its partners in Qatar, Egypt, Saudi Arabia, Turkiye, and the United Arab Emirates",277_0
dawn,pre,US,Egypt,positive,began drafting,"the US began drafting a UNSC resolution with input from its partners in Qatar, Egypt, Saudi Arabia, Turkiye, and the United Arab Emirates",277_0
dawn,pre,US,Saudi_Arabia,positive,began drafting,"the US began drafting a UNSC resolution with input from its partners in Qatar, Egypt, Saudi Arabia, Turkiye, and the United Arab Emirates",277_0
dawn,pre,US,Turkey,positive,began drafting,"the US began drafting a UNSC resolution with input from its partners in Qatar, Egypt, Saudi Arabia, Turkiye, and the United Arab Emirates",277_0
dawn,pre,US,UAE,positive,began drafting,"the US began drafting a UNSC resolution with input from its partners in Qatar, Egypt, Saudi Arabia, Turkiye, and the United Arab Emirates",277_0
dawn,pre,US,UN,positive,urge,We urge the Security Council to seize this historic moment to pave a path towards enduring peace in the Middle East by supporting this resolution,277_0
dawn,pre,Pakistan,Iran,positive,welcomed,Pakistan welcomed Iran’s offer of mediation between Islamabad and Kabul,290_0
dawn,pre,Pakistan,Iran,positive,appreciate,"we appreciate the offer of mediation of our brotherly country, Iran",290_0
dawn,pre,Pakistan,Iran,positive,believe,We believe that Iran can play an important role,290_0
dawn,pre,Iran,Pakistan,positive,expressed,Araghchi had also expressed Iran’s readiness for any kind of assistance to resolve differences between the two countries,290_0
dawn,pre,UK,Iran,negative,submitted,"a draft resolution submitted to the agency’s board by Britain, France, Germany and the United States",314_0
dawn,pre,France,Iran,negative,submitted,"a draft resolution submitted to the agency’s board by Britain, France, Germany and the United States",314_0
dawn,pre,Germany,Iran,negative,submitted,"a draft resolution submitted to the agency’s board by Britain, France, Germany and the United States",314_0
dawn,pre,US,Iran,negative,submitted,"a draft resolution submitted to the agency’s board by Britain, France, Germany and the United States",314_0
dawn,pre,IAEA,Iran,negative,called on,IAEA called on Iran to allow it to verify its enriched uranium inventories,314_0
dawn,pre,Israel,Iran,negative,launched,Israel launched an unprecedented bombing campaign against Iran,314_0
dawn,pre,US,Iran,negative,joined with strikes,the US briefly joined with strikes on Iranian nuclear sites,314_0
dawn,pre,Iran,IAEA,negative,suspended,Tehran suspended its cooperation with the IAEA,314_0
dawn,pre,Iran,IAEA,negative,restricted,restricted the watchdog’s inspectors from accessing the bombed sites,314_0
dawn,pre,Iran,IAEA,negative,accusing,accusing it of bias and failing to condemn the attacks,314_0
dawn,pre,Iran,UN,negative,warned,Iranian officials warned the UN body against adopting an anti-Iran resolution,314_0
dawn,pre,Iran,IAEA,negative,consider a review,Iran will consider a review of its relations with the IAEA and will conduct a fundamental review,314_0
dawn,pre,US,Saudi_Arabia,positive,designated,"Saudi Arabia was being designated as a “major, non-Nato ally”",312_0
dawn,pre,US,Saudi_Arabia,positive,taking our military cooperation to even greater heights,we’re taking our military cooperation to even greater heights by formally designating Saudi Arabia as a major non-Nato ally,312_0
dawn,pre,US,Saudi_Arabia,positive,accorded,thanked Trump for the “warm welcome” accorded to him,312_0
dawn,pre,Saudi_Arabia,US,positive,thanked,thanked Trump for the “warm welcome” accorded to him,312_0
dawn,pre,Saudi_Arabia,US,positive,worked together,the two countries had worked together during this period,312_0
dawn,pre,Saudi_Arabia,US,positive,signing agreements,the two were also signing agreements that would lead to deeper ties,312_0
dawn,pre,Pakistan,US,positive,phoned,Prime Minister Shehbaz Sharif phoned him to say that he had “saved millions”,319_0
dawn,pre,US,Pakistan,positive,saved,he had “saved millions”,319_0
dawn,pre,US,Pakistan,negative,putting a 350pc tariff,"I said that’s okay, you can go at it, but I’m putting a 350pc tariff on each country",319_0
dawn,pre,US,Pakistan,negative,no more trade,No more trade with the United States,319_0
dawn,pre,US,Pakistan,negative,threat of a 350pc tariff,it took the threat of a 350pc tariff to settle the conflict,319_0
dawn,pre,Pakistan,US,positive,called,the prime minister of Pakistan called me,319_0
dawn,pre,Pakistan,US,positive,said i saved millions,he actually said I saved millions,319_0
dawn,pre,US,Russia,negative,expressed disappointment,he expressed disappointment in Russian President Vladimir Putin for his resistance to ending Moscow’s invasion of Ukraine,319_0
dawn,pre,US,Russia,neutral,have a good relationship,I have a good relationship with President Putin,319_0
